hash_module_type,buffer_type,scheduler_type,num_ports,global_voq_size,shared_memory_size,axis_data_width,clock_frequency_mhz,queue_depth_log,hash_lut,hash_ff,hash_bram,rx_lut,rx_ff,rx_bram,sched_lut,sched_ff,sched_bram,buffer_bram,total_lut,total_ff,total_bram,buffer_memory_bytes,packets_received,packets_transmitted,packets_dropped,total_cycles,avg_latency_ns,max_latency_ns,throughput_gbps,voq_overflow,shared_mem_overflow,drop_rate,rx_utilization,hash_utilization,scheduler_utilization,line_rate_achieved_ratio,phase,per_port_voq_sizes,original_total_memory,optimized_total_memory,bram_saving_pct,performance_degradation_pct
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,2048,512,250.0,8,6417,4524,0,447,4463,64,41165,52277,560,16,48029,61264,640,2048,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,2048,640,250.0,8,4812,3393,0,335,3347,64,30873,39207,420,20,36020,45947,504,2048,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,4096,256,250.0,9,3850,2714,0,268,2677,64,24699,31366,336,8,28817,36757,408,4096,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,4096,512,250.0,9,6417,4524,0,447,4463,64,41165,52277,560,16,48029,61264,640,4096,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,4096,640,250.0,9,4812,3393,0,335,3347,64,30873,39207,420,20,36020,45947,504,4096,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,8192,256,250.0,10,3850,2714,0,268,2677,64,24699,31366,336,8,28817,36757,408,8192,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,8192,512,250.0,10,6417,4524,0,447,4463,64,41165,52277,560,16,48029,61264,640,8192,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,8192,640,250.0,10,4812,3393,0,335,3347,64,30873,39207,420,20,36020,45947,504,8192,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,16384,256,250.0,11,3850,2714,0,268,2677,64,24699,31366,336,8,28817,36757,408,16384,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,16384,512,250.0,11,6417,4524,0,447,4463,64,41165,52277,560,16,48029,61264,640,16384,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,16384,640,250.0,11,4812,3393,0,335,3347,64,30873,39207,420,20,36020,45947,504,16384,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,32768,256,250.0,12,3850,2714,0,268,2677,64,24699,31366,336,16,28817,36757,416,32768,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,32768,512,250.0,12,6417,4524,0,447,4463,64,41165,52277,560,16,48029,61264,640,32768,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,32768,640,250.0,12,4812,3393,0,335,3347,64,30873,39207,420,20,36020,45947,504,32768,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,65536,256,250.0,13,3850,2714,0,268,2677,64,24699,31366,336,32,28817,36757,432,65536,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,65536,512,250.0,13,6417,4524,0,447,4463,64,41165,52277,560,32,48029,61264,656,65536,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,65536,640,250.0,13,4812,3393,0,335,3347,64,30873,39207,420,40,36020,45947,524,65536,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,131072,256,250.0,14,3850,2714,0,268,2677,64,24699,31366,336,64,28817,36757,464,131072,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,131072,512,250.0,14,6417,4524,0,447,4463,64,41165,52277,560,64,48029,61264,688,131072,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,131072,640,250.0,14,4812,3393,0,335,3347,64,30873,39207,420,80,36020,45947,564,131072,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,262144,256,250.0,15,3850,2714,0,268,2677,64,24699,31366,336,128,28817,36757,528,262144,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,262144,512,250.0,15,6417,4524,0,447,4463,64,41165,52277,560,128,48029,61264,752,262144,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,262144,640,250.0,15,4812,3393,0,335,3347,64,30873,39207,420,140,36020,45947,624,262144,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,256,256,250.0,5,3850,2714,0,268,2677,64,33175,33342,90,8,37293,38733,162,256,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,256,512,250.0,5,6417,4524,0,447,4463,64,55293,55571,150,16,62157,64558,230,256,998,989,9,13375,21685.559949443894,0.0,9.460924882534373,True,True,0.009018036072144289,0.05193457943925234,0.44770093457943927,0.7778691588785047,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,256,640,250.0,5,4812,3393,0,335,3347,64,41469,41678,112,20,46616,48418,196,256,998,971,27,12984,20757.922245108137,0.0,9.568336295980371,True,True,0.027054108216432865,0.05349853666050524,0.4611829944547135,0.7781885397412199,0.0,1,,0,0,0.0,0.0
